epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.18627451360225677,0.0010000000474974513,2.580608367919922,0.1538461595773697,2.1889710426330566
1,0.38235294818878174,0.0010000000474974513,1.8221713304519653,0.3461538553237915,1.7297333478927612
2,0.529411792755127,0.0010000000474974513,1.3008203506469727,0.3461538553237915,1.5173684358596802
3,0.5980392098426819,0.0010000000474974513,1.1598469018936157,0.38461539149284363,1.4723695516586304
4,0.6372548937797546,0.0010000000474974513,1.0381892919540405,0.4615384638309479,1.444948673248291
5,0.7254902124404907,0.0010000000474974513,0.9590778946876526,0.6153846383094788,1.340531587600708
6,0.7647058963775635,0.0010000000474974513,0.7674093246459961,0.6538461446762085,1.193211317062378
7,0.7254902124404907,0.0010000000474974513,0.8208084106445312,0.6538461446762085,1.088789701461792
8,0.8333333134651184,0.0010000000474974513,0.6483611464500427,0.807692289352417,1.015616536140442
9,0.813725471496582,0.0010000000474974513,0.6040502190589905,0.807692289352417,0.9674155712127686
10,0.8235294222831726,0.0010000000474974513,0.5822153091430664,0.807692289352417,0.912006139755249
11,0.7254902124404907,0.0010000000474974513,0.7001020908355713,0.7692307829856873,0.8611721396446228
12,0.8333333134651184,0.0010000000474974513,0.4803035259246826,0.7692307829856873,0.8146749138832092
13,0.843137264251709,0.0010000000474974513,0.4752417802810669,0.8461538553237915,0.7759153842926025
14,0.7941176295280457,0.0010000000474974513,0.6049464344978333,0.8461538553237915,0.7531659603118896
15,0.8039215803146362,0.0010000000474974513,0.5120866298675537,0.807692289352417,0.7560020089149475
16,0.8725489974021912,0.0010000000474974513,0.380973219871521,0.807692289352417,0.7638116478919983
17,0.9019607901573181,0.0010000000474974513,0.32448720932006836,0.7692307829856873,0.7671388387680054
18,0.8333333134651184,0.0005000000237487257,0.4997915029525757,0.7692307829856873,0.7561255693435669
19,0.8235294222831726,0.0005000000237487257,0.5403997302055359,0.7692307829856873,0.7186762690544128
20,0.8529411554336548,0.0005000000237487257,0.4042736887931824,0.7692307829856873,0.6728149056434631
21,0.8921568393707275,0.0005000000237487257,0.332968145608902,0.807692289352417,0.6344419717788696
22,0.9117646813392639,0.0005000000237487257,0.3178482949733734,0.807692289352417,0.6080451607704163
23,0.9313725233078003,0.0005000000237487257,0.2566030025482178,0.8461538553237915,0.5806737542152405
24,0.9313725233078003,0.0005000000237487257,0.24804291129112244,0.807692289352417,0.5670933127403259
25,0.813725471496582,0.0005000000237487257,0.4093707501888275,0.807692289352417,0.5599663257598877
26,0.7745097875595093,0.0005000000237487257,0.5247364044189453,0.8461538553237915,0.5558935403823853
27,0.9411764740943909,0.0005000000237487257,0.2764624059200287,0.8461538553237915,0.5451698899269104
28,0.9019607901573181,0.0005000000237487257,0.3718290627002716,0.8846153616905212,0.5241957306861877
